"id","seccion","requisito","fuente_archivo_linea","riesgo","capa","precondiciones","entrada","fallo_inyectado","resultado_esperado","efectos_permitidos","efectos_prohibidos","metodo_verificacion","tipo_prueba","dimension_recursos","requiere_presupuesto","repeticiones_planeadas","estado","evidencia","notas"
"D-010","D","fallo de persistencia del resumen (openRouter.chat lanza) no rompe la respuesta al cliente","api/src/conversation/graph/nodes/persistir.node.ts:110-114","medio","unit","","","openRouter.chat rechaza","sólo se loguea, el turno de conversación no falla","","","expect grafo.invoke resuelve normalmente","determinista_offline","","false","1","implementado","api/src/conversation/graph/adversarial/historial-resumen.spec.ts",""
"E-001","E","dos invokes concurrentes al mismo thread_id no pisan el snapshot del otro","api/src/conversation/graph/state.ts:30-36","alto","unit","barrera manual (promesa liberada a mano), no sleeps","2 crear_turno simultáneos, mismo horario","","sólo uno agenda; el otro choca en choqueDeUltimoMomento o en el snapshot","","doble reserva del mismo horario","expect crearEvento called 1 vez","determinista_offline","","false","1","implementado","api/src/conversation/graph/adversarial/concurrencia.spec.ts",""
"E-002","E","mensaje duplicado (misma entrada dos veces) no duplica el turno","api/src/conversation/graph/nodes/calendar.node.ts:142-179","alto","unit","","mismo HumanMessage invocado 2 veces, mismo thread","","segunda vez ya hay Turno activo o el horario ya está ocupado por el propio turno","","","expect crearEvento called ≤1 vez tras la 2da invocación equivalente","metamorfica","","false","1","implementado","api/src/conversation/graph/adversarial/metamorficas.spec.ts",""
"E-003","E","dos conversaciones distintas del mismo titular no comparten turnoActivo","api/src/conversation/graph/nodes/cargar-contexto.node.ts:202-209","alto","unit","","","","cada Conversation resuelve su propio turnoActivo por conversationId","","","expect turno.findFirst where conversationId correcto","determinista_offline","","false","1","implementado","api/src/conversation/graph/adversarial/concurrencia.spec.ts",""
"E-004","E","escritura aceptada por Calendar cuya respuesta se pierde (timeout post-escritura) no debe reintentarse como una escritura nueva","api/src/conversation/graph/nodes/calendar.node.ts:153-167","alto","unit","","","crearEvento resuelve tarde/lanza tras haber escrito en Google","documentado como hueco: el código no tiene idempotencia contra ese caso puntual (no hay dedupe por operación)","","","inspección de código + test que documenta el hueco","determinista_offline","","false","1","ejecutado_fail","api/src/conversation/graph/adversarial/concurrencia.spec.ts","hueco real: no hay idempotency key en crearEvento; reportado en reporte-hallazgos.md, no corregido sin autorización"
"E-005","E","cancelación repetida (2 mensajes ""cancelá"" seguidos) no falla ni duplica efectos","api/src/conversation/graph/nodes/calendar.node.ts:181-193","medio","unit","","","","2da cancelación responde ""no hay turno activo""","","","expect cancelarEvento called 1 vez en 2 invokes","determinista_offline","","false","1","implementado","api/src/conversation/graph/adversarial/concurrencia.spec.ts",""
"E-006","E","webhook de Mercado Pago repetido (mismo data.id) dos veces deja una sola fila","api/src/subscription/subscription.service.ts:90-118","alto","unit","","","","upsert idempotente","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/subscription/subscription.service.spec.ts",""
"E-007","E","purga de retención corrida dos veces seguidas no duplica ni falla","api/src/retention/retention.service.ts:16-19,46-58","medio","unit","","","","segunda corrida no encuentra filas ya purgadas (where naturalmente las excluye)","","","expect deleteMany/updateMany segunda vez con count=0","determinista_offline","","false","1","implementado","api/src/retention/adversarial/purga.spec.ts",""
"E-008","E","mensajes fuera de orden (respuesta de un tool_call anterior llega tarde) no se mezclan entre vueltas","api/src/conversation/graph/state.ts:45-58","medio","unit","","","","cada invoke opera sobre su propio estado devuelto por el checkpointer, no hay mezcla entre threads","","","expect aislamiento por thread_id","determinista_offline","","false","1","implementado","api/src/conversation/graph/adversarial/concurrencia.spec.ts",""
"F-001","F","OpenRouter 401/403 se traduce en OpenRouterError, no en éxito silencioso","api/src/agents/openrouter.client.ts:114,196-200","alto","unit","","","fetch responde 401/403","OpenRouterError propagado","","","ya cubierto (no-ok HTTP)","determinista_offline","","false","1","implementado","api/src/agents/openrouter.client.spec.ts",""
"F-002","F","OpenRouter timeout (AbortError) se traduce en OpenRouterTimeoutError y NO se reintenta","api/src/agents/openrouter.client.ts:120,196-197","alto","unit","","","","502 directo, 1 sola llamada","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"F-003","F","OpenRouter 5xx / red se reintenta 1 vez con el mismo mensaje","api/src/agents/agents.service.ts:186-191","alto","unit","","","","2 llamadas, mismos messages en la 2da","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"F-004","F","respuesta no-JSON de OpenRouter no crashea el cliente HTTP","api/src/agents/openrouter.client.ts:196-200","medio","unit","","","body=""<html>502 Bad Gateway</html>""","OpenRouterError con mensaje seguro (no el HTML crudo)","","","expect error message no contiene HTML","determinista_offline","","false","1","implementado","api/src/agents/openrouter.client.spec.ts",""
"F-005","F","choices vacío / content nulo se trata como GeneracionInvalidaError","api/src/agents/agents.service.ts:227-229","alto","unit","","","","reintento correctivo, luego 502 si persiste","","","ya cubierto (respuesta vacía)","determinista_offline","","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"F-006","F","Calendar token revocado (invalid_grant) da GoogleReconsentimientoError, no 502 genérico","api/src/calendar/calendar.service.ts:30,38","alto","unit","","","","GoogleReconsentimientoError propagado","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/calendar/calendar.service.spec.ts",""
"F-007","F","Calendar caído durante cargar_contexto bloquea agendar sin crashear el grafo","api/src/conversation/graph/nodes/cargar-contexto.node.ts:228-235","alto","unit","","","","agenda.falla=true, rechazo ""No se pudo leer la agenda""","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/conversation/graph/graph.spec.ts",""
"F-008","F","Calendar caído durante la escritura (calendar.node) da mensaje seguro, no expone el error crudo","api/src/conversation/graph/nodes/calendar.node.ts:300-311","alto","unit","","","crearEvento lanza CalendarUnavailableError","MENSAJE_CALENDAR_CAIDO, no el stack/mensaje interno","","mensaje interno expuesto al cliente","expect ToolMessage === MENSAJE_CALENDAR_CAIDO","determinista_offline","","false","1","implementado","api/src/conversation/graph/adversarial/agenda-limites.spec.ts",""
"F-009","F","404 de evento (cancelar/editar uno que ya no existe) no crashea, da error entendible","api/src/calendar/calendar.service.ts:38-46","medio","unit","","","","traducirError → CalendarUnavailableError","","","ya cubierto vía calendario-dev (mimetiza 404)","determinista_offline","","false","1","implementado","api/src/calendar/calendario-dev.spec.ts",""
"F-010","F","checkpointer con conexión caída (error genérico, no 42P01) no dispara reparación indebida","api/src/conversation/checkpointer.provider.ts:26-34","medio","unit","","","ECONNREFUSED","esTablaFaltante=false, el error se propaga tal cual","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/conversation/checkpointer.provider.spec.ts",""
"F-011","F","excepción durante persistir.node (message.create falla) no debe perder la respuesta ya generada al cliente","api/src/conversation/graph/nodes/persistir.node.ts:117-125","medio","unit","","","prisma.message.create rechaza","documentar comportamiento real: hoy la excepción no está atrapada, se propaga y ConversationService cae al mensaje genérico","","","expect grafo.invoke rechaza; conversation.service.spec.ts ya cubre el catch-all","determinista_offline","","false","1","implementado","api/src/conversation/conversation.service.spec.ts",""
"F-012","F","WhatsApp simulado: mensaje de un chat de grupo se ignora","api/src/whatsapp/whatsapp.service.ts","bajo","unit","","","","handleMessagesUpsert descarta remoteJid de grupo","","","revisar si existe test dedicado; si no, hueco documentado","determinista_offline","","false","1","no_aplicable","","no se relevó un spec dedicado a whatsapp.service.ts en esta pasada; hueco explícito, no se fabrica evidencia"
"F-013","F","ningún endpoint compatible con ZDR/tools/schema para un modelo (ej. openai/gpt-oss-120b según docs/modelo-y-zdr.md) se detecta, no se enmascara como éxito","docs/modelo-y-zdr.md:106-114","alto","llm_real","","","","0% de generación exitosa reportado, no un ""ok parcial""","","","eval real ya documentado en docs/modelo-y-zdr.md","llm_real","","true","1","bloqueado","docs/modelo-y-zdr.md","ya corrido antes de esta sesión según el documento; no se re-corre sin nueva aprobación"
"F-014","F","MercadoPagoClient timeout de 15s se traduce en MercadoPagoError, no cuelga el checkout","api/src/subscription/mercadopago.client.ts:6","medio","unit","","","","MercadoPagoError propagado","","","ya cubierto","determinista_offline","","false","1","implementado","api/src/subscription/mercadopago.client.spec.ts",""
"F-015","F","webhook con firma inválida se ignora sin llamar a Mercado Pago","api/src/subscription/subscription.controller.ts:86-95","alto","unit","","","x-signature manipulado","recibido:false, sincronizarDesdeMp NO llamado, 200","","llamada a MercadoPagoClient","expect sincronizarDesdeMp not called","determinista_offline","","false","1","implementado","api/src/subscription/adversarial/webhook.spec.ts",""
"G-001","G","sesión vencida (JWT viejo) no puede usar el banco de pruebas del Home","api/src/conversation/conversation.controller.ts:18","alto","e2e","","","","401 antes de llegar al guard de suscripción","","","e2e nuevo","determinista_offline","","false","1","implementado","e2e/tests/sesion-vencida.spec.ts",""
"G-002","G","suscripción vencida corta al asistente en la entrada de WhatsApp sin desvincular la sesión","api/src/whatsapp/whatsapp.service.ts:170","alto","unit","","","","handleMessagesUpsert no invoca el grafo si asistenteActivo=false","","","revisar si existe test dedicado; hueco si no","determinista_offline","","false","1","no_aplicable","","no se relevó test dedicado en whatsapp.service.spec.ts en esta pasada; hueco explícito"
"G-003","G","suscripción vencida corta al asistente en la entrada del Home (banco de pruebas)","api/src/conversation/conversation.controller.ts:33","alto","e2e","","","","MENSAJE_SUSCRIPCION_VENCIDA en vez de respuesta del grafo","","","e2e nuevo","determinista_offline","","false","1","implementado","e2e/tests/sesion-vencida.spec.ts",""
"G-004","G","webhook de suscripción sin autenticar (sin x-signature) responde 200 pero no cambia estado","api/src/subscription/subscription.controller.ts:92-95","alto","e2e","","","","GET /suscripcion antes/después idéntico","","","e2e nuevo","determinista_offline","","false","1","implementado","e2e/tests/webhook-suscripcion.spec.ts",""
"G-005","G","webhook repetido (mismo data.id) no cambia el estado dos veces","api/src/subscription/subscription.service.ts:90-118","medio","e2e","","","","estado idéntico tras 2 entregas","","","e2e nuevo","determinista_offline","","false","1","implementado","e2e/tests/webhook-suscripcion.spec.ts",""
"G-006","G","eliminar cuenta borra los checkpoints de LangGraph (fuera del cascade de Prisma)","api/src/auth/cuenta.service.ts:99-120","alto","e2e","","","","JWT viejo ya no sirve; conversación no revive tras recrear el email","","","e2e nuevo","determinista_offline","","false","1","implementado","e2e/tests/cuenta-eliminada.spec.ts",""
"G-007","G","alta y persistencia del wizard de escritorio ya cubierta","web/src/app/contanos","bajo","e2e","","","","agenda generada, navega a /vincular","","","ya cubierto","determinista_offline","","false","1","implementado","e2e/tests/generacion-escritorio.spec.ts",""
"G-008","G","alta en formulario móvil ya cubierta","web/src/components/onboarding/FormularioMovil.tsx","bajo","e2e","","","","agenda generada en un solo scroll","","","ya cubierto","determinista_offline","","false","1","implementado","e2e/tests/generacion-movil.spec.ts",""
"G-009","G","política de datos hacia el modelo (ZDR) verificada en cada llamada del stub, ya cubierta","api/src/agents/openrouter.client.ts:26-29","alto","e2e","","","","provider:{data_collection:deny,zdr:true} en el 100% de las llamadas","","","ya cubierto","determinista_offline","","false","1","implementado","e2e/tests/cuenta.spec.ts",""
"G-010","G","retención: conversación con historial purgado no revive datos del cliente en la próxima charla","api/src/retention/retention.service.ts:99-109","medio","unit","","","","resumen/nombreCliente en null, nueva charla arranca ""primera vez""","","","combinar purga.spec.ts + cargar-contexto.spec.ts","determinista_offline","","false","1","implementado","api/src/retention/adversarial/purga.spec.ts",""
"RL1-001","RL1","historial armado al 25/75/95%/borde/excedido de un límite simulado no pierde el turno activo ni la identidad","api/src/conversation/graph/nodes/cargar-contexto.node.ts:237-244","medio","unit","","","","contexto.turnoActivo y nombreCliente sobreviven independientemente del largo del historial (no se recortan en cargar_contexto)","","","expect turnoActivo/nombreCliente presentes","determinista_offline","contexto","false","1","implementado","api/src/conversation/graph/adversarial/contexto-simulado.spec.ts",""
"RL2-001","RL2","salida cortada a mitad de JSON de generación (finish_reason=length) no persiste config parcial","api/src/agents/agents.service.ts:236-238","alto","e2e","","","[corte-N] en el stub","GeneracionInvalidaError, reintento, sin Agent parcial","","","e2e nuevo + stub extendido","determinista_offline","salida","false","1","implementado","e2e/tests/salida-truncada.spec.ts",""
"RL2-002","RL2","salida cortada a mitad de argumentos de una tool call no se ejecuta a medias","api/src/conversation/conversation-tools.ts:30-39","alto","unit","","","tool_call.args con JSON truncado (simulado vía args parciales)","safeParse falla, ToolMessage de error, cero escritura","","","expect crearEvento not called","determinista_offline","salida","false","1","implementado","api/src/conversation/graph/adversarial/tool-calls-maliciosos.spec.ts",""
"RL3-001","RL3","reasoning:{enabled:false} vs {effort:low,exclude:true} no se mezclan entre paths mecánicos y conversacionales","api/src/conversation/llm.provider.ts:28 vs api/src/agents/agents.service.ts:223","medio","unit","","","","cada path envía su propio reasoning, nunca el del otro","","","ya cubierto por separado en cada spec","determinista_offline","reasoning","false","1","implementado","api/src/agents/openrouter.client.spec.ts",""
"RL3-002","RL3","comparar reasoning real (low vs desactivado vs alternativas del proveedor) requiere llamadas reales","docs/modelo-y-zdr.md:137-151","medio","llm_real","","","","","","","","","reasoning","true","1","bloqueado","","NO EJECUTADA sin aprobación; comando: EVAL_MODELOS=<lista> npm run eval -- conversacion"
"RL4-001","RL4","demora justo antes del timeout de 40s (llm.provider) no dispara el catch genérico","api/src/conversation/llm.provider.ts:18","alto","unit","reloj falso","","invoke demora 39.9s simuladas","responde normalmente, sin MENSAJE_DISCULPA_GENERICO","","","expect respuesta real, no genérica","determinista_offline","tiempo","false","1","implementado","api/src/conversation/adversarial/timeouts-reloj-falso.spec.ts",""
"RL4-002","RL4","demora justo en el timeout de 40s dispara el catch genérico sin colgar el proceso","api/src/conversation/graph/nodes/conversacion.node.ts:39-52","alto","unit","","","invoke rechaza con AbortError a los 40s simulados","MENSAJE_DISCULPA_GENERICO, sin tool_calls","","","expect respuesta genérica","determinista_offline","tiempo","false","1","implementado","api/src/conversation/adversarial/timeouts-reloj-falso.spec.ts",""
"RL4-003","RL4","demora justo después del timeout se comporta igual que ""en el timeout"" (no hay zona gris)","api/src/conversation/llm.provider.ts:18,38","medio","unit","","","","mismo resultado que RL4-002","","","expect respuesta genérica","determinista_offline","tiempo","false","1","implementado","api/src/conversation/adversarial/timeouts-reloj-falso.spec.ts",""
"RL4-004","RL4","timeout de generación (60s) por intento vs deadline global de la request HTTP no se confunden","api/src/agents/agents.service.ts:23","medio","unit","","","","ya cubierto en agents.service.spec.ts (timeout no se reintenta)","","","ya cubierto","determinista_offline","tiempo","false","1","implementado","api/src/agents/agents.service.spec.ts",""
"RL5-001","RL5","baseline sin límite de CPU/RAM: arranque y RSS medidos como referencia","docker-compose.yml","bajo","manual","","","","tiempo de arranque y RSS de referencia registrados","","","docker stats --no-stream tras healthcheck","recursos_limitados","cpu_ram","false","1","planeado","","requiere levantar el stack e2e manualmente; comando documentado en diseno-experimento.md"
"RL5-002","RL5","perfil 1 CPU / 512MiB: arranque, RSS y comportamiento bajo el stub","docker-compose.recursos-limitados.yml","medio","manual","","","","arranca (o falla de forma documentada), sin corromper datos","","","docker stats + logs","recursos_limitados","cpu_ram","false","1","planeado","","perfil experimental, no mínimo garantizado"
"RL5-003","RL5","perfil 0.5 CPU / 256MiB: arranque, OOM y recuperación","docker-compose.recursos-limitados.yml","medio","manual","","","","un fallo de arranque es un resultado válido, no se descarta el caso","","","docker stats + logs + exit code","recursos_limitados","cpu_ram","false","1","planeado","","perfil experimental"
"RL6-001","RL6","concurrencia 1/5/10/25 contra el stub, mismo chat: backpressure sin duplicar reservas","e2e/openrouter-stub/server.mjs","alto","manual","","","","latencia crece, errores documentados, sin doble reserva","","","carga-local.ts + verificación de Turno únicos","recursos_limitados","carga","false","1","planeado","","corrido manualmente contra el stack e2e, con guardas de CPU/mem del host"
"RL6-002","RL6","concurrencia 1/5/10/25, titulares distintos: sin acceso cruzado entre agendas","api/src/conversation/graph/nodes/cargar-contexto.node.ts:192-199","alto","manual","","","","cada userId resuelve su propio Agent/Turno","","","carga-local.ts","recursos_limitados","carga","false","1","planeado","",""
"RL7-001","RL7","429 con Retry-After de OpenRouter real: backoff y deadline efectivo","api/src/agents/openrouter.client.ts","medio","llm_real","","","","","","","","","cuotas","true","1","bloqueado","","NO EJECUTADA sin aprobación: requiere provocar un 429 real o mockear a nivel HTTP contra un endpoint real"
"RL7-002","RL7","429 simulado a nivel de cliente HTTP (sin llamar a OpenRouter real) se traduce en OpenRouterError con mensaje seguro","api/src/agents/openrouter.client.ts:196-200","medio","unit","","","fetch responde 429 con Retry-After","OpenRouterError, sin reintento automático en el cliente mismo","","","expect OpenRouterError","determinista_offline","cuotas","false","1","implementado","api/src/agents/openrouter.client.spec.ts",""
"M-001","metamorfica","paráfrasis equivalentes del mismo pedido producen la misma decisión de validación","api/src/conversation/graph/nodes/validacion.node.ts:173-317","medio","unit","","mismo tool_call crear_turno generado por dos ""formas de pedirlo"" distintas (mismos args)","","mismo veredicto (la validación depende de args, no de texto)","","","expect mismo resultado con distinto ""origen"" de texto","metamorfica","","false","1","implementado","api/src/conversation/graph/adversarial/metamorficas.spec.ts",""
"M-002","metamorfica","repetir el mismo mensaje no duplica una escritura ya confirmada","api/src/conversation/graph/nodes/calendar.node.ts:142-179","alto","unit","","","","segunda vez no crea un segundo Turno idéntico","","","expect crearEvento called 1 vez tras repetir","metamorfica","","false","1","implementado","api/src/conversation/graph/adversarial/metamorficas.spec.ts",""
"M-003","metamorfica","cambiar de titular (otro Agent/userId) no arrastra turnoActivo ni resumen del anterior","api/src/conversation/graph/nodes/cargar-contexto.node.ts:192-209","alto","unit","","","","contexto resuelto 100% desde el nuevo ownerUserId","","","expect turnoActivo/resumen independientes por userId","metamorfica","","false","1","implementado","api/src/conversation/graph/adversarial/metamorficas.spec.ts",""
"M-004","metamorfica","una negación no se convierte en confirmación al resumir (control negativo del resumen real)","api/src/conversation/graph/nodes/persistir.node.ts:82-101","alto","llm_real","","","","","","","","","","true","1","bloqueado","","mismo caso que D-009; requiere resumen.eval.ts real"
"M-005","control_negativo","control negativo: una violación real (tool de propietario desde esPropietario=false) DEBE hacer fallar el test","api/src/conversation/graph/nodes/conversacion.node.ts:18-27","alto","unit","","","","el test falla si el harness deja pasar la violación (verifica que el harness detecta, no que el sistema es perfecto)","","","test invertido: se fuerza la violación y se espera que la aserción la atrape","determinista_offline","","false","1","implementado","api/src/conversation/graph/adversarial/metamorficas.spec.ts","este caso prueba el harness mismo, no el sistema bajo prueba"
